,PC1,PC2,PC3,PC4,PC5
CYP2C19,0.960326296873965,0.957272407379692,0.945955475244354,0.946149753575559,0.946139605950051
CYP2C8,0.960347502625022,0.958481578180351,0.946048783871986,0.946321221163174,0.946031912640863
CYP2C9,0.960481161392484,0.966044639499814,0.945862590217884,0.946024079055146,0.946086969072075
CYP2E1,0.960338195201707,0.957947588448377,0.9457413959281,0.94615779227906,0.946093168571264
CYP3A4,0.955995038176569,0.960336069717362,0.946209478915431,0.946145542003467,0.94586932466894
CYP3A5,0.95605768036916,0.963877819601046,0.945897275128156,0.945975142859561,0.946050012081399
CYP4B1,0.986512083664235,0.950059273720726,0.942206755542522,0.943530494713648,0.945158957670247
CYTH2,0.981881405124005,0.93625534679645,0.945315835148761,0.946701471656054,0.946080818856792
DALRD3,0.999570890326215,0.944716582308151,0.944907795054631,0.947026596389679,0.942717496986821
DAPK1,0.968969043791199,0.949968985253647,0.947330674120438,0.945689164684331,0.949959268918135
DARS,0.98621569198441,0.933348642649203,0.947204336070552,0.946507097096253,0.946928590811484
DARS2,0.986633893418568,0.957052873189542,0.946635286865793,0.946203573762643,0.945580570400028
DBH,0.982276796113139,0.95865211057659,0.946260661955917,0.946350201574941,0.945814654327271
DBI,0.994851242311516,0.92564679995082,0.947353699314272,0.945143156089101,0.947144363278907
